cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
65,COMPLETE,0,7,ALU,0,-1,-1,0,""
66,ISSUE,0,4,LD,1,3,None,4,""
67,ISSUE,0,5,LD,1,3,None,4,""
67,COMPLETE,0,2,ALU,0,-1,-1,0,""
68,ISSUE,0,6,LD,1,3,None,4,""
68,COMPLETE,0,3,ALU,0,-1,-1,0,""
69,ISSUE,0,7,LD,1,3,None,4,""
69,COMPLETE,0,4,ALU,0,-1,-1,0,""
70,ISSUE,0,2,LD,2,4,None,4,""
71,ISSUE,0,3,LD,2,4,None,4,""
72,ISSUE,0,4,LD,2,4,None,4,""
73,ISSUE,0,5,LD,2,4,None,4,""
74,ISSUE,0,6,LD,2,4,None,4,""
75,ISSUE,0,7,LD,2,4,None,4,""
76,ISSUE,0,2,FFMA,0,1,2,4,""
77,ISSUE,0,3,FFMA,0,1,2,4,""
78,ISSUE,0,4,FFMA,0,1,2,4,""
79,ISSUE,0,5,FFMA,0,1,2,4,""
80,ISSUE,0,6,FFMA,0,1,2,4,""
81,ISSUE,0,7,FFMA,0,1,2,4,""
81,COMPLETE,0,5,ALU,0,-1,-1,0,""
82,ISSUE,0,2,LD,1,3,None,4,""
82,COMPLETE,0,6,ALU,0,-1,-1,0,""
83,ISSUE,0,3,LD,1,3,None,4,""
83,COMPLETE,0,7,ALU,0,-1,-1,0,""
84,ISSUE,0,4,LD,1,3,None,4,""
85,ISSUE,0,5,LD,1,3,None,4,""
85,COMPLETE,0,2,ALU,0,-1,-1,0,""
86,ISSUE,0,6,LD,1,3,None,4,""
86,COMPLETE,0,3,ALU,0,-1,-1,0,""
87,ISSUE,0,7,LD,1,3,None,4,""
87,COMPLETE,0,4,ALU,0,-1,-1,0,""
88,ISSUE,0,2,LD,2,4,None,4,""
89,ISSUE,0,3,LD,2,4,None,4,""
90,ISSUE,0,4,LD,2,4,None,4,""
91,ISSUE,0,5,LD,2,4,None,4,""
92,ISSUE,0,6,LD,2,4,None,4,""
93,ISSUE,0,7,LD,2,4,None,4,""
94,ISSUE,0,2,FFMA,0,1,2,4,""
95,ISSUE,0,3,FFMA,0,1,2,4,""
96,ISSUE,0,4,FFMA,0,1,2,4,""
97,ISSUE,0,5,FFMA,0,1,2,4,""
98,ISSUE,0,6,FFMA,0,1,2,4,""
99,ISSUE,0,7,FFMA,0,1,2,4,""
99,COMPLETE,0,5,ALU,0,-1,-1,0,""
100,ISSUE,0,2,LD,1,3,None,4,""
100,COMPLETE,0,6,ALU,0,-1,-1,0,""
101,ISSUE,0,3,LD,1,3,None,4,""
101,COMPLETE,0,7,ALU,0,-1,-1,0,""
102,ISSUE,0,4,LD,1,3,None,4,""
103,ISSUE,0,5,LD,1,3,None,4,""
103,COMPLETE,0,2,ALU,0,-1,-1,0,""
104,ISSUE,0,6,LD,1,3,None,4,""
104,COMPLETE,0,3,ALU,0,-1,-1,0,""
105,ISSUE,0,7,LD,1,3,None,4,""
105,COMPLETE,0,4,ALU,0,-1,-1,0,""
106,ISSUE,0,2,LD,2,4,None,4,""
107,ISSUE,0,3,LD,2,4,None,4,""
108,ISSUE,0,4,LD,2,4,None,4,""
109,ISSUE,0,5,LD,2,4,None,4,""
110,ISSUE,0,6,LD,2,4,None,4,""
111,ISSUE,0,7,LD,2,4,None,4,""
112,ISSUE,0,2,FFMA,0,1,2,4,""
113,ISSUE,0,3,FFMA,0,1,2,4,""
114,ISSUE,0,4,FFMA,0,1,2,4,""
115,ISSUE,0,5,FFMA,0,1,2,4,""
